               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.038456,            0.010842,          0.00085267,            0.074244,             0.51724,            0.059163,            0.024667,            0.051707,           0.0081148,           0.0010187,            0.003862,            0.003862,            0.003862
                  64,             0.03756,            0.010023,           0.0008553,            0.071848,             0.44828,            0.057558,            0.023417,             0.05278,           0.0079069,           0.0010361,            0.003763,            0.003763,            0.003763
                  65,            0.036345,            0.011511,          0.00089503,            0.070798,             0.44828,            0.061713,            0.022583,            0.051803,           0.0089092,          0.00097704,            0.003664,            0.003664,            0.003664
                  66,             0.03816,             0.01091,          0.00087879,            0.069948,             0.41379,            0.056605,            0.021186,             0.05109,           0.0091462,          0.00098524,            0.003565,            0.003565,            0.003565
                  67,            0.037923,            0.011281,          0.00085213,              0.0706,             0.44828,            0.055079,             0.02084,            0.050885,           0.0087719,            0.001007,            0.003466,            0.003466,            0.003466
                  68,            0.036371,           0.0098652,          0.00082195,            0.053572,             0.34483,            0.050397,            0.018001,            0.052374,            0.008749,           0.0010286,            0.003367,            0.003367,            0.003367
                  69,            0.033207,             0.01152,          0.00083256,            0.072308,             0.41379,            0.053062,            0.018961,            0.052835,           0.0097747,          0.00097342,            0.003268,            0.003268,            0.003268
                  70,            0.034149,            0.010723,          0.00080432,            0.064871,             0.34483,            0.041628,            0.019168,            0.055507,           0.0096507,          0.00099888,            0.003169,            0.003169,            0.003169
                  71,             0.03496,            0.011997,          0.00073262,            0.060226,             0.34483,            0.034056,            0.013866,            0.058598,           0.0091028,            0.001096,             0.00307,             0.00307,             0.00307
                  72,            0.034004,            0.010991,          0.00072932,            0.053514,             0.34483,            0.033888,            0.012597,            0.054816,           0.0093827,           0.0011265,            0.002971,            0.002971,            0.002971
                  73,            0.033656,            0.010127,          0.00071108,            0.046962,             0.31034,            0.032459,            0.013427,            0.055471,           0.0099592,           0.0011238,            0.002872,            0.002872,            0.002872
                  74,            0.034299,           0.0090346,          0.00068353,            0.042855,             0.27586,             0.03237,            0.012877,            0.054491,            0.010374,           0.0011439,            0.002773,            0.002773,            0.002773
                  75,            0.033882,            0.011423,          0.00067807,            0.041336,             0.27586,            0.032886,            0.013601,             0.05398,            0.010564,           0.0011209,            0.002674,            0.002674,            0.002674
                  76,            0.034641,            0.010445,          0.00059684,            0.037286,             0.24138,            0.032621,            0.013195,            0.054113,            0.010291,           0.0011436,            0.002575,            0.002575,            0.002575
                  77,            0.032144,           0.0096195,          0.00061695,            0.036901,             0.24709,            0.035656,            0.014408,            0.051812,            0.010535,           0.0011084,            0.002476,            0.002476,            0.002476
                  78,            0.034128,           0.0098389,          0.00062138,            0.040623,             0.25703,            0.032422,            0.013167,            0.052414,             0.01035,           0.0011309,            0.002377,            0.002377,            0.002377
                  79,            0.031725,            0.010753,          0.00060467,            0.034014,              0.2069,            0.030185,            0.012905,             0.05288,            0.010331,           0.0011485,            0.002278,            0.002278,            0.002278
                  80,            0.030233,           0.0093421,            0.000598,            0.033483,              0.2069,            0.035947,            0.015144,            0.053851,            0.010505,            0.001139,            0.002179,            0.002179,            0.002179
                  81,            0.031648,           0.0093675,          0.00061878,            0.043893,             0.27586,            0.036429,            0.016149,            0.053653,            0.010907,           0.0011004,             0.00208,             0.00208,             0.00208
                  82,            0.031404,           0.0085653,          0.00053126,            0.041917,             0.27586,            0.036668,            0.016217,            0.053542,            0.011048,           0.0010561,            0.001981,            0.001981,            0.001981
                  83,            0.030179,            0.010413,          0.00052473,            0.047299,             0.31034,            0.032136,            0.013854,            0.055482,            0.010843,           0.0010494,            0.001882,            0.001882,            0.001882
                  84,            0.030556,           0.0091215,          0.00057117,            0.035727,             0.24138,            0.027786,            0.012346,            0.057212,            0.010642,           0.0011019,            0.001783,            0.001783,            0.001783
                  85,             0.03032,            0.010559,          0.00056444,            0.043431,             0.27586,            0.030798,            0.012678,            0.055676,            0.010867,           0.0010671,            0.001684,            0.001684,            0.001684
                  86,            0.028654,           0.0086481,          0.00055435,            0.051664,              0.3288,            0.041077,            0.016564,            0.052983,            0.011113,           0.0010477,            0.001585,            0.001585,            0.001585
                  87,            0.029711,            0.010118,          0.00050921,            0.044581,             0.27586,            0.043947,            0.018228,            0.052013,            0.011269,            0.001036,            0.001486,            0.001486,            0.001486
                  88,            0.028367,            0.009187,          0.00048795,            0.037861,             0.24138,            0.042591,            0.015239,            0.051757,             0.01157,            0.001037,            0.001387,            0.001387,            0.001387
                  89,            0.027789,           0.0089623,          0.00048612,            0.027952,             0.17241,            0.035253,            0.012967,            0.052058,            0.011818,           0.0010529,            0.001288,            0.001288,            0.001288
                  90,            0.028897,           0.0085291,          0.00044006,            0.022332,             0.13793,            0.029527,            0.011383,            0.052559,             0.01168,           0.0011101,            0.001189,            0.001189,            0.001189
                  91,            0.028134,           0.0087276,          0.00043958,            0.027447,             0.24138,            0.023463,            0.008594,            0.053294,            0.011569,           0.0011522,             0.00109,             0.00109,             0.00109
                  92,            0.029181,           0.0090046,           0.0005362,            0.021992,             0.17241,            0.019284,           0.0067407,            0.054606,            0.011534,           0.0011748,            0.000991,            0.000991,            0.000991
                  93,            0.026488,           0.0092027,          0.00042649,            0.017462,             0.10345,            0.024299,           0.0080131,            0.053689,            0.011815,           0.0011411,            0.000892,            0.000892,            0.000892
                  94,            0.026606,            0.010054,          0.00041442,            0.022606,             0.13793,            0.025249,           0.0085468,            0.054126,            0.012034,           0.0011176,            0.000793,            0.000793,            0.000793
                  95,            0.026146,           0.0078492,          0.00044708,            0.023693,             0.17241,            0.023384,            0.008617,            0.054638,            0.012235,           0.0011134,            0.000694,            0.000694,            0.000694
                  96,            0.027202,            0.008928,          0.00043217,            0.021695,             0.13688,             0.02405,           0.0092285,            0.054197,            0.012428,             0.00109,            0.000595,            0.000595,            0.000595
                  97,            0.027614,           0.0099646,          0.00038528,            0.027269,             0.17241,            0.027933,           0.0098481,            0.053971,            0.012633,           0.0010688,            0.000496,            0.000496,            0.000496
                  98,            0.026066,           0.0095935,           0.0003948,            0.024823,             0.17241,            0.024695,           0.0093657,            0.054099,            0.012784,           0.0010561,            0.000397,            0.000397,            0.000397
                  99,            0.027007,           0.0082664,          0.00039842,            0.025362,             0.17241,            0.024165,           0.0088442,            0.053937,            0.012838,           0.0010552,            0.000298,            0.000298,            0.000298
